Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
B.1.351.ID14_1st	0.00432700412085193	0.127935763179036	0.00463390931611897	0	0.21547762605748	0.145983696042794	0.0773656110856827	0	0	0	0.308778333540028	0	0.823322511635817	0	0	0.122921932896731	0	0.074465833858153	0.307459870163269	0	0	3.61641890810404	9999	0.793288293835142	0.61471451156568	5.829091
B.1.351.ID14_2nd	0	0.191514968115593	0.006436579009904	0.0460582216168009	0.0541300265890865	0.376891801606359	0.195809183686105	0	0	0	0.424250872925706	0	0.740655123139279	0	0	0	0	0.0668056965742184	0.404208510727395	0	0	4.17131701600955	9999	0.806455173738736	0.595595131353113	6.678078
B.1.351.ID1_1st	0	0.297074683217523	0	0.00765911327437395	0.102223494869775	0	0.12036044336662	0	0	0.0322160776399996	0.139673635708101	0	0.612661057276496	0	0	0.0517646995622039	0	0.0313428042828868	0.258311510912146	0	0	2.81343847988987	9999	0.672932945883565	0.765906163832568	4.466726
B.1.351.ID1_2nd	0.0829164442345303	0.100149181757248	0.00206467763041534	0.136668145827388	0.094444875643523	0.0807176955954893	0.086440845743751	0.0294020010016534	0	0.0275410892215898	0.286294801637272	0	0.0111822896924995	0	0	0.0921288140862618	0	0.0861329057146765	0.318482384714927	0	0	4.02186284749878	9999	0.714353676594001	0.737835385514521	5.456429
B.1.351.ID1_3rd	0.315454921358152	0.125045913027656	0	0.372717366621251	0	0.557440823153761	0.157310748820262	0.1788451014129	0	0	0.346054796357856	0.0312112168599586	0.0710178089531273	0	0	0.541243767842883	0.0037492042074696	0.0606035891846528	0.405254096645664	0	0	4.1819486455544	9999	0.733484785797774	0.682121724017472	7.347898
B.1.351.ID24_1st	0.174789700948878	0.0480826144763267	0.00218097419750581	0.00764526912308883	0.224672298755251	0.0255370821912116	0.264226935502782	0.0816398637130251	0	0	0.432878680404148	0	0.664202285085407	0	0	0.191926609664762	0	0.0966420886556859	0.4379450891427	0	0	4.16952550813923	9999	0.722077003664269	0.70168875579061	6.821895
B.1.351.ID24_2nd	0.147366766531825	0.0384172506546518	0.00262438114678034	0	0.290092780249426	0	0.0711537818745122	0	0	0	0.427122136498755	0	0.221229703624224	0	0	0.010889103903338	0	0.0775067098433191	0.289227527906289	0	0	3.82154485776688	9999	0.75656311923246	0.677327100008667	5.397175
B.1.351.ID24_3rd	0.342859277473341	0.0343222887308798	0	0.0178679959427923	0.818451296022191	0.587472746105434	0.273791881778761	0	0	0	0.612249089318562	0	0.487034148425985	0	0	0.0225618071662861	0	0.00602565371501774	0.199802749640741	0	0	4.96559706568001	9999	0.745277418806948	0.670919577153473	8.368036
B.1.351.ID2_1st	0	0.251218982479393	0	0.206214739172773	0.286645935454897	0	0.213551463562584	0	0	0	0.365869752343026	0	0.347800681643948	0	0	0.122033814907658	0.00265714421231026	0	0.280006869782203	0	0	3.18999461644121	9999	0.771741869534993	0.639595879538437	5.265994
B.1.351.ID2_2nd	0	0.20319301090173	0	0.107511428963175	0.264979477074547	0.0884769058006516	0.118111428090017	0.0580378938486946	0	0	0.322473962971231	0	0	0	0	0.19245168895644	0	0.0771083148638937	0.48598831723605	0	0	4.29278457129357	9999	0.773898804033539	0.646260337312939	6.211117
B.1.351.ID2_3rd	0.0680595652724542	0.243509696723817	0.00285754312036381	0.704835906961906	0.00140346352670171	1.03836486346738	0.252041138949617	0	0	0	0.481047760004139	0.0295786341876381	0.323205030419913	0	0	0.311275651454216	0	0.00420362636898109	0.209798879515565	0	0.0504937312510244	3.67292150877628	9999	0.730656428647293	0.685115075909209	7.393597
B.1.351.ID3_1st	0.0256762053349336	0	0.0141915483482247	0	0.0650878326263726	0	0.0747812767171348	0	0	0.0212629785531562	0.10954597103712	0	0.405740794214968	0	0	0.0107162854905876	0.000616660427208365	0.0333091479300886	0.200107504396312	0	0	1.67007779492389	9999	0.783984857341473	0.630245038320988	2.631114
B.1.351.ID3_2nd	0.0422272123486504	0	0.0339186744062532	0.00973934690410075	0.0635355077054002	0	0.0157731458952013	0.0491701094378736	0	0.0132777798535171	0.183420809058135	0	0.281302338991726	0	0	0.00406410380327346	0.0019073031737105	0.0523248406338824	0.161109711511358	0	0	2.73831311627692	9999	0.772351889871302	0.672204819485692	3.650084
B.1.351.ID3_3rd	0.0427449833753782	0	0.0265368648145196	0.285819149198872	0.0425989373862923	0.0412352801956767	0.169126855340081	0.0454261566823703	0	0	0.285751141781375	0	0.597873711303756	0	0	0.305981629267118	0	0.0220889645669871	0.389301180683908	0	0	2.88004714540367	9999	0.681390554577772	0.739872990776323	5.134532
B.1.351.ID4_1st	0.0227327511433656	0.133588604492808	0	0	0.0925590052758672	0	0.0343571477070997	0.00859438895235478	0	0.0163851359271357	0.147683501937304	0	0	0	0	0	0	0.0427274393278178	0.108680910727243	0	0	2.212495114509	9999	0.789973338471147	0.650612114463634	2.819804
B.1.351.ID5_1st	0.014819260747723	0.0555735709719178	0.0311260224767913	0	0.154303350856673	0	0.0749399087665471	0	0	0.0118433300628918	0.220839754796867	0	0.426563509454336	0	0	0.0508789299541423	0	0.0454668724838335	0.190887871885043	0	0	2.15399661754323	9999	0.607860157880254	0.833433521109272	3.431239
B.1.351.ID5_2nd	0.0443483493477256	0.0626857930087582	0.0124977435656129	0.0745917983621893	0.15513998515565	0.294361626333035	0.141626543301515	0.0412438877402716	0	0	0.21981758395016	0	0.120140542346512	0	0	0.0994217105083192	0	0.041112092873613	0.275338217938083	0	0	4.48325512556856	9999	0.75303371369333	0.688764904738204	6.065581
B.1.351.ID5_3rd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999	0.576211015597386	0.830387542010102	0
B.1.351.ID6_1st	0.017208747254368	0.0224116394812568	0.00587604254920196	0.00619657732981591	0.0935210666312131	0	0	0.00639951084688986	0	0.00773847128404898	0.130947443465418	0	0	0	0	0.0661237681575743	0	0.0287977776351851	0.0904177784031715	0	0	1.96279417696186	9999	0.626826660033989	0.874651656101639	2.438433
