Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
BNT_Convalescent_10_Day0,2.85042540856084,0,0.00366044505963308,5.03232433339,0,4.76373878302626,1.66214474562594,0,0,0.0287823900234046,6.77467494853369,0,2.71728804946694,0,0,0.735504240668434,0,0,1.41491703666631,0,0,20.7822115201192,0,0.729888797704379,0.69084644139771,46.7656719011407
BNT_Convalescent_10_Day1,1.81053027783268,0.641963723340343,0,2.56935384345538,1.48659647327017,1.26070636432827,2.43503257404757,0,0,1.49203493624344,4.11802654869568,0,2.8669211172462,0,0,0.759034720827386,0,0,1.89225473428992,0,0,38.3969893195028,0,0.780342352804284,0.628168279172712,59.7294446330799
BNT_Convalescent_11_Day0,2.23732199096906,0.886366958567589,0,3.02488763551385,1.93930982601273,0.0113961694362652,1.82532530697759,0.0714703412980571,0,0,10.6908816364286,0,5.51946219244398,0,0,0.378106027717926,0,0,1.26405548842316,0,0,30.718990760812,0,0.757844656443837,0.65494632435413,58.5675743346008
BNT_Convalescent_11_Day1,1.68798030219388,1.34211442681718,0,3.38277364551342,1.54118368705672,0.724889288252146,2.19441940572169,0.284430739080987,0,1.75359263862783,2.06534260103528,0.674256719409857,0,0,0,3.27486975393985,0.361264491251936,0.220007373415519,4.11982508212453,0,0,50.0772193246466,0,0.796069445720418,0.608779081459213,73.7041694790875
BNT_Convalescent_11_Day7,2.48934418772261,0.853003475641452,0,3.52720729415445,1.66518940762865,3.4830417466296,1.8420679804358,0,0,0,3.26327488823202,0,0,0,0,2.75763873943458,0,0.932656608543394,0.356583744292016,0,0,37.1588115451562,0,0.712582317774092,0.707484725325413,58.3288196178707
BNT_Convalescent_12_Day0,0,1.29111634598409,0.0346324427844768,6.53496830988809,1.1564722316674,2.19439736240303,1.94252345554737,0,0,0,5.90882921126519,0,8.73472091933569,0,0,1.15327090195462,0,0,0.595672848356375,0,0.253031873765849,14.2083340837398,0,0.702700208615759,0.722419656267348,44.007969986692
BNT_Convalescent_12_Day1,0,1.45764720978959,0.0951198552382484,4.03914472383648,2.14105825927088,1.06016994421402,2.89148269873071,0,0,0.422151998184893,4.81266320126977,0,3.57400211344177,0,0,0.507753953798214,0,0,1.08823363524019,0,0,44.704779958316,0,0.798560345788919,0.605689075567321,66.7942075513308
BNT_Convalescent_12_Day7,0,1.59816755778209,0.32814299198394,5.41141833157265,1.92155791941962,0.794185331798427,2.17207242293663,0.0828557921537081,0,0.143734077313845,5.75992344442429,0,3.7439447318665,0,0,0.57605041962459,0,0,0.923731616931355,0,0.199220452740262,38.1943265254217,0,0.765727422961147,0.645515194132773,61.8493316159696
BNT_Convalescent_13_Day1,1.670054881367,1.24972439710363,0,2.14345722534574,3.48297228457125,0.00535650099128508,1.95737753381172,0,0,0.311429368478188,1.83062747376281,0.436616982664555,0,0,0,2.8984520483033,0.21674017027044,0,3.92903105267295,0,0,53.0896559817978,0,0.812077927084963,0.590417933607217,73.2214959011407
BNT_Convalescent_13_Day7,3.47700208424048,1.32715747824381,0,2.01075219156415,0,7.55405694582543,2.02847923984246,0,0,0,3.67049836728978,0,0,0,0,0.782705975986695,0,0,1.76431449072256,0,1.56672566400586,25.2622320546742,0,0.511786613271217,0.873378699230902,49.4439244923954
BNT_Convalescent_14_Day0,2.6423949778916,0.934238913947186,0,2.2877521689627,2.34398493860203,2.99258777261067,2.19990377319326,0,0,0,7.71944265050293,0,4.80291305455632,0,0,0.347356321342207,0,0,0.85934318873851,0,0,20.2014081160784,0,0.688991721256724,0.727629739287937,47.3313258764259
BNT_Convalescent_14_Day1,2.17112394570917,1.04682625102048,0,0.599273349858463,2.55884177323171,1.97223433917473,2.27991483598031,0.135758617370831,0,0.210026223578645,5.63730498879857,0,2.54555911524473,0,0,0.578775496226719,0,0,0.86105835939078,0,0,43.3064861854035,0,0.798465745516928,0.60633039046422,63.9031834809886
BNT_Convalescent_14_Day7,3.49306109827761,0.634460104831875,0,5.19271437561777,0.881499904715274,4.01637906289225,2.47583452599637,0,0,1.58228691421714,0.436015684527025,0.143566164925961,0,0,0,2.34269840967471,0.0811896120353522,0,3.03403139805642,0,0.837052347235066,32.5277387658185,0,0.676234032435365,0.738562692061188,57.6785283688213
BNT_Convalescent_15_Day0,4.37643407473576,0,0,1.91880142808054,2.00791971658103,0,1.60401898360175,0,0,0,6.1751646662909,0,6.04647081121563,0,0,0.353150129392212,0,0,1.36114306404802,0,0,25.5102657819477,0,0.742086873023469,0.672044704266855,49.3533686558935
BNT_Convalescent_15_Day1,1.63982123054842,0.757754739440182,0,0.460959658645068,1.72517462607549,0,3.00615102797216,0,0,0,6.24245062016296,0,4.41252897373233,0,0,0.907037944213496,0,0,2.08899879634549,0,0,40.6825513087199,0,0.811330214179541,0.587224392588677,61.9234289258555
BNT_Convalescent_15_Day7,2.76972247878275,0.533388953115953,0,0.424390951573826,3.3246818983585,0.243966327081711,2.5100718081946,0,0,0,3.22391750153963,0.357417510740248,0.225199953505554,0,0,2.98513912522086,0.0660993456001285,1.06389377537075,4.06383536781182,0,0,41.5374655449288,0,0.719805477911642,0.701099697697788,63.3291905418251
BNT_Convalescent_16_Day0,2.55895868122875,0.679641124280554,0,3.15707440725084,2.48077155885573,5.16768751923249,0.763108019471477,0,0,0,4.67193445394564,0.541084224415166,7.08167024656568,0,0,0.815937895892849,0,0.0204210302635152,0.424415836308351,0,0,12.7947818159772,0,0.706269711114693,0.723582722989025,41.1574868136882
