Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BNT_Convalescent_10_Day0,0.0609512339432743,0,7.8272051075648e-05,0.107607228311142,0,0.101864008136063,0.0355419836400426,0,0,0.00061545977751049,0.144864270588368,0,0.0581043303560589,0,0,0.0157274387551458,0,0,0.0302554625892545,0,0,0.444390311852064,0,0.729888797704379,0.69084644139771
BNT_Convalescent_10_Day1,0.0303121900589372,0.0107478602435356,0,0.0430165366384873,0.0248888380329398,0.0211069493793695,0.0407677082719598,0,0,0.0249798896575896,0.0689446649637021,0,0.0479984559517972,0,0,0.0127078817740591,0,0,0.031680434096016,0,0,0.642848590931607,0,0.780342352804284,0.628168279172712
BNT_Convalescent_11_Day0,0.0382006940937501,0.0151340902989035,0,0.051647821680858,0.0331123466874915,0.00019458155072563,0.0311661414650601,0.00122030564028044,0,0,0.182539259272559,0,0.0942409217925075,0,0,0.0064558935898178,0,0,0.0215828554073543,0,0,0.524505088520692,0,0.757844656443837,0.65494632435413
BNT_Convalescent_11_Day1,0.0229021005748233,0.0182094776496734,0,0.0458966388119093,0.0209104002928085,0.00983511914421373,0.0297733414707879,0.00385908614249687,0,0.0237923125790786,0.0280220592082147,0.00914814893343541,0,0,0,0.0444326254143472,0.00490154754887292,0.00298500580049196,0.0558967709865243,0,0,0.679435365442322,0,0.796069445720418,0.608779081459213
BNT_Convalescent_11_Day7,0.0426777741094545,0.0146240483045899,0,0.0604710898876786,0.0285483131415618,0.0597139076265907,0.0315807518908103,0,0,0,0.0559461842295232,0,0,0,0,0.0472774651964618,0,0.0159896362493447,0.00611333722554478,0,0,0.63705749213844,0,0.712582317774092,0.707484725325413
BNT_Convalescent_12_Day0,0,0.0293382391047469,0.000786958425824904,0.148495109223721,0.0262786997904498,0.0498636352248608,0.044140264959615,0,0,0,0.134267252342065,0,0.19848043256658,0,0,0.0262059554735966,0,0,0.0135355675014436,0,0.00574968292885051,0.322858202458246,0,0.702700208615759,0.722419656267348
BNT_Convalescent_12_Day1,0,0.0218229583556239,0.00142407341482642,0.0604714820627586,0.0320545499042787,0.0158721838776107,0.0432894229115395,0,0,0.0063201887358342,0.0720521041824065,0,0.0535076654767583,0,0,0.00760176626705257,0,0,0.0162923354454634,0,0,0.669291269365847,0,0.798560345788919,0.605689075567321
BNT_Convalescent_12_Day7,0,0.0258396900342484,0.00530552203896756,0.0874935620189534,0.0310683700084395,0.0128406453400277,0.0351187695353493,0.00133963924894404,0,0.00232393905574128,0.093128305414655,0,0.0605333094804182,0,0,0.00931376951979628,0,0,0.0149351915824559,0,0.00322106072184009,0.617538226000163,0,0.765727422961147,0.645515194132773
BNT_Convalescent_13_Day1,0.0228082595256154,0.0170677255595943,0,0.0292736060492359,0.0475676198868397,7.31547604342461e-05,0.026732280045937,0,0,0.00425325056044555,0.0250012301883918,0.00596296179545484,0,0,0,0.0395847150161561,0.00296006203646904,0,0.0536595299552155,0,0,0.72505560462021,0,0.812077927084963,0.590417933607217
BNT_Convalescent_13_Day7,0.070322129967156,0.0268416694643228,0,0.040667325909241,0,0.152780286423001,0.0410258542514044,0,0,0,0.0742355790923171,0,0,0,0,0.0158301749713876,0,0,0.035683140220674,0,0.0316869196790158,0.51092692002148,0,0.511786613271217,0.873378699230902
BNT_Convalescent_14_Day0,0.0558276137201492,0.0197382789653163,0,0.0483348422339918,0.0495229088811453,0.0632263668341726,0.04647881149446,0,0,0,0.163093733538272,0,0.10147429774302,0,0,0.00733882507853459,0,0,0.0181559078015712,0,0,0.426808413709367,0,0.688991721256724,0.727629739287937
BNT_Convalescent_14_Day1,0.0339752079230151,0.0163814413304137,0,0.0093778324836782,0.040042477288991,0.0308628495755846,0.0356776409528735,0.00212444216353038,0,0.0032866316220557,0.0882163404343649,0,0.0398346213221449,0,0,0.00905706828203491,0,0,0.0134744204042189,0,0,0.677689026217094,0,0.798465745516928,0.60633039046422
