Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Alpha_ID10_1st,1.68184171867219,1.8499978560141,0.0285965357095033,5.90680653478827,3.98857188711419,7.64755167306173,4.07290178683673,0,0,1.01777528084017,3.15736230294325,0,0,0,0,2.74841335616697,0.118873203373159,1.73486586160657,3.7222781410413,0,0,65.4574483447216,0,0.718613707935259,0.699878427940518,103.13328448289
Alpha_ID10_2nd,2.61127313510727,1.50725969773817,0,13.5768688624041,6.56888259595239,0,3.29523685891341,0,0,0,6.55420441890282,0,0,0,0.111598133568641,2.89618640858846,0.183066806810021,0.11028467960815,0.76839159858785,0,0,44.3251227106628,0,0.774209058029341,0.638671665474595,82.5083759068441
Alpha_ID11_1st,2.8006437086174,1.00290628908333,0,0.759631010916523,9.44102091737704,12.4891843188891,2.41073284707318,0,0,0,7.07959565373651,0,0,0,0,0.830056701360078,0,0.418339002126911,1.96850268064933,0,0,56.2287251325281,0,0.766099457907396,0.644326877967361,95.4293382623574
Alpha_ID11_2nd,3.7406905006683,1.66239819729574,0,1.51285472135857,7.38816448876918,12.3078863297058,0.492913720710579,0,0,0,5.4654825947247,0,2.66491408001014,0.623027098629747,0,0,0,0,0.528791334521227,0,0,41.26784669026,0,0.741260359498302,0.673093323579679,77.654969756654
Alpha_ID11_3rd,2.89945466545919,1.29269720861157,0,1.20074315853891,4.93673663567747,13.1106632483557,1.87791198200227,0,0,0,3.64397433847031,0.967497912463916,0,0.959148201550337,0,0,0,0,0,0,0,55.7004826507715,0,0.763726813018501,0.64840494243458,86.5893100019011
Alpha_ID19_1st,1.22066807594945,3.53643216980465,0.103487575387364,0.732185426402923,8.36852277706775,1.43244230795476,5.07554922907122,0,0,0,6.7355972782476,0.991930645655784,7.012987722116,0,0,0,0.059004948438792,0.86552956392128,6.33944329041662,0,0,72.3844446359536,0,0.736636718209562,0.680098929440186,114.858225646388
Alpha_ID19_2nd,0.169290319865059,3.7899797056499,0,6.78620494961527,6.88092430477201,2.18055486053766,2.82402289182178,0,0,0,4.85202169211553,0,11.3339999161928,0,0.0517566700987197,2.86173024699698,0,0.276695344092606,2.63280029369746,0,0.882167762660626,44.4338589278152,0,0.72743493710302,0.687717650335434,89.9560078859316
Alpha_ID20_1st,1.4701228710107,1.69899876406278,0.51890116058928,0,3.73397389857881,2.28207011349721,4.05534509028795,0,0,0.0168851762697479,9.42679624142735,0,10.0138673516176,0,0,1.33190510365885,0.125540706115738,0.297139113815168,5.21997087442686,0,0,73.4380076829309,0,0.767233903036904,0.6455695437608,113.629524148289
Alpha_ID20_2nd,0.939177272985685,1.96261020557473,0.0384036665591722,6.89711631756975,1.22816193089375,5.82671867045224,3.41457659317749,0,0,0,4.94475593472706,2.04892569586735,1.21421507121612,0,0,3.376063455122,0.470974241920128,0.2395414235228,3.27925071945672,0,0,51.3503908998143,0,0.789905379123311,0.616543389243356,87.2308820988593
Alpha_ID21_1st,2.78592899298299,2.04741391261138,0.247525983743293,1.19892683915414,0.378412488221478,3.13338062214703,3.36316749738744,0,0,0.443921191953324,6.01352534120177,0,0,0,0,0,0.197896194674472,1.64351110589195,3.15516926725223,0,0,92.543118123615,0,0.773649825713986,0.66118116178103,117.151897560837
Alpha_ID21_2nd,1.12302487368031,1.61975424628301,0,4.05167008323262,2.34088518240004,4.40179275914514,2.39042983969525,0,0,0,6.38768335511424,0,9.58035432031106,0,0,2.15302589683701,0,0,1.65336116088523,0,0,34.2650240390701,0,0.640977216742731,0.768994933614596,69.967005756654
Alpha_ID22_2nd,0.0670766591777446,0.978676237960951,0.151909694681515,12.4615904314625,0,0.709183475111645,5.54225616542333,0,0,0,10.2731250359205,0,2.07106393216442,0,0,0.525737921399151,0,0,1.55724890951902,0,0,47.2023306664568,0,0.76921074826302,0.641185554707309,81.5401991292776
Alpha_ID23_2nd,0.0966010103687468,0.894936224322298,0.123268155471651,4.81806089799733,1.48388140569721,0,2.81476299824602,0,0,0,5.24879079619867,0,12.9011672051629,0,0,0.669899898100164,0,0.24382782947941,1.74565501901707,0,0,64.5647028565165,0,0.775957619932168,0.640505009981622,95.6055542965779
Alpha_ID26_1st,0,4.24238209323598,0.245445813323678,0,2.47376860990089,0.359680582493424,2.31552668533971,0.0170619797854216,0,0,4.28552296626487,0,0.49081439640011,0,0,0,0,1.91256876895945,2.60509880239476,0,0,98.0283521460082,0,0.721915284878264,0.75098463842623,116.976222844106
Alpha_ID27_1st,1.41357422656471,0.99209190636433,0.610897832179031,3.81273248872149,0,5.60911044673775,5.99310397607139,0,0,0,8.49898214257056,0,3.92409568669971,0,0,1.52807811659021,0,0.800417983769569,3.91210676492356,0,0,53.2085990086556,0,0.768268016297598,0.641724833624401,90.3037905798479
Alpha_ID27_2nd,1.54397885397493,1.50703054851702,0,6.16242800196579,4.40279009541562,9.76859983892239,3.12712515565049,0,0,0,8.39789677088553,0,8.39702391224252,0,0,0.0366963269322639,0,0.0832428983049877,0,0,0,31.5005808272265,0,0.80033722582584,0.62400717311476,74.927393230038
Alpha_ID28_1st,2.29303457803494,1.09435933450725,0.337236579541823,0.19820509851171,6.60610610609632,0,2.90767656214572,0,0,0,5.82393807798709,0,4.94128354869089,0,0,3.20665164047639,0,0.738580661528277,5.07213140223694,0,0,63.5042348284936,0,0.739977957531472,0.679232760220214,96.723438418251
Alpha_ID28_2nd,4.22890817110932,0.567102123219598,0,0.464024009312404,5.5400084052896,0,1.47414209485854,0,0,0,5.45715910463006,0,12.5458828957102,0,0,2.35779312644607,0,0.544980615718506,2.55304111466282,0,0,64.7433537782063,0,0.780579179457558,0.629424947937179,100.476395439163
Alpha_ID29_1st,0,3.69325337610226,0.0707802518573343,8.15969197225762,6.58955359687553,0,3.51117117573319,1.41308999129608,0,0.418562074970516,13.2755211175771,0,1.57426835354401,0,0,3.36785632442473,0.54916361982311,0,2.80471925994068,0,0.129282192795604,38.8022090635247,0,0.696280200829016,0.720658593048931,84.3591223707224
Alpha_ID30_1st,1.26384142188992,0,0.444055060125967,2.93615682451468,0,7.30025918393456,5.52735398381097,0,0,0,12.1406803261012,0,8.91955159583214,0,0,0.864475088416016,0,0.426048270703382,1.51192028112738,0,0,63.2636097943423,0,0.745944319375888,0.668625667279643,104.597951830798
Alpha_ID30_2nd,0,1.82196870477276,0.254600719520544,8.2276833541826,3.05643823618546,2.30876247590348,5.34727774567855,0,0,0,11.5828576537006,0,10.5078643316221,0,0,0.120245611290006,0,0.0484962124865948,1.83670727278425,0,0,40.0686145088692,0,0.759046599846698,0.6574449263572,85.1815168269962
Alpha_ID31_1st,0.774746699758441,0.357747280558797,0.88027196219617,0,4.56530978374394,0,2.25598686213442,0.941326545354041,0,0.376822969290878,4.00236598890192,0,0,0,0,0,0,1.18328992022854,2.29526235409512,0,0,96.3815494911522,0,0.802974449851573,0.63577049194045,114.014679857414
Alpha_ID32_1st,1.68762336989736,0,0.364848416457565,0,3.31615938350701,0,1.09067731971469,1.95488356722821,0,0.700915206612619,3.26040387403239,0,0,0,0,0,0,1.62752468278168,1.54590330251706,0,0,105.135648388658,0,0.782566358743074,0.678742728685698,120.684587511407
Alpha_ID33_1st,3.22390957899647,0.764379526973406,0.204973575183213,0,4.09638613875857,1.74064972544568,0,3.78843308812428,0,1.28870116867134,2.49388587257662,0.0605996992252644,0,0,0,3.98716457916092,0,4.08575240078652,5.85882374900983,0,0,110.531367163248,0,0.690389765597798,0.767391962732807,142.12502626616
Alpha_ID33_2nd,1.32464427622876,2.93853967191143,0,0,2.25407264472722,0,1.8162906094979,0,0,0,4.56286967633833,0,8.29421689193177,0,0,1.78163705226125,0,0,0.859923466937167,0,0,63.3532928223335,0,0.73577370218836,0.703369904150039,87.1854871121673
Alpha_ID34_1st,0,1.38415997538225,0.500476829341221,1.30808941275525,1.32070915386926,0,2.56561437403799,0.0807279850534148,0,0,4.46400323106553,0,16.5434971200731,0,0,0.54491658578962,0,0,2.34870267461983,0,0,56.1261581123852,0,0.64138906315437,0.799326148024195,87.1870554543726
Alpha_ID35_1st,2.37943547019202,0.726965445297212,0.684153794364275,0,4.2861683932501,0,3.79948533960146,1.78983135765361,0,0.236803650437306,4.66758663828974,0,0,0,0,0,0,1.82482673567022,4.36146720835176,0,0,103.452849676018,0,0.769351355575241,0.672303220434165,128.209573709125
Alpha_ID35_2nd,2.58628788298574,0.501376555809687,0.400255600526572,0,3.81728078930603,0.489145518594108,3.67702907498774,0,0,0.238896285276745,4.92583500910201,0,9.02484290030266,0,0,0.797025495998111,0,1.51294681752732,1.82993436619569,0,0,89.5428599847564,0,0.782266323398722,0.643866600884815,119.343716281369
Alpha_EK_ID39_1st,0.55297323931613,0.786995672316006,0.15945693590409,3.61823882767563,0.429990255016179,1.31417242349078,3.34632288473597,0.231693108787386,0,0,7.04983092469808,0,15.684385134204,0,0.32631034944212,3.83537883149818,0,0.705395635647429,4.47944220963165,0,0,47.2258174668759,0,0.663208616850387,0.752059594557204,89.7464038992395
Alpha_EK_ID39_2nd,0,2.15694457375281,0,6.76475959025699,0,6.11938859394477,5.29619257811148,0,0,0,12.0708291672985,0,2.00215182764803,0,0,0.720556125905975,0,0,1.64729359613182,0,0,47.3801853404858,0,0.729130164268002,0.68576304880392,84.1583013935361
