Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Alpha_ID10_1st,0.0163074581315328,0.0179379321165809,0.000277277465300231,0.0572735229407751,0.0386739538754428,0.0741521198651488,0.0394916326698821,0,0,0.00986854327333116,0.0306143871861956,0,0,0,0,0.0266491401873558,0.00115261725609912,0.0168215903362837,0.0360919189154578,0,0,0.634687905780614,0,0.718613707935259,0.699878427940518
Alpha_ID10_2nd,0.0316485824185355,0.0182679598425249,0,0.164551401153902,0.0796147363677231,0,0.0399382101840654,0,0,0,0.0794368371315759,0,0,0,0.0013525673283721,0.0351017260581931,0.00221876633490777,0.00133664829050407,0.00931289205662466,0,0,0.537219672833071,0,0.774209058029341,0.638671665474595
Alpha_ID11_1st,0.0293478269850073,0.0105094125909802,0,0.00796014123904035,0.0989320589379073,0.130873634317294,0.0252619675559891,0,0,0,0.0741867834635199,0,0,0,0,0.00869812907093685,0,0.00438375671197468,0.0206278563436902,0,0,0.589218432783661,0,0.766099457907396,0.644326877967361
Alpha_ID11_2nd,0.0481706516967353,0.0214074926885577,0,0.0194817501841721,0.0951409100012702,0.158494509344023,0.00634748454934969,0,0,0,0.070381620285885,0,0.0343173667874849,0.00802301643516334,0,0,0,0,0.00680949765582668,0,0,0.531425700371533,0,0.741260359498302,0.673093323579679
Alpha_ID11_3rd,0.0334851341972298,0.0149290623586582,0,0.0138671062110617,0.0570132344924458,0.151412030515866,0.0216875730036541,0,0,0,0.0420834204405868,0.0111734105796971,0,0.0110769816912651,0,0,0,0,0,0,0,0.643272046509535,0,0.763726813018501,0.64840494243458
Alpha_ID19_1st,0.0106276069395979,0.0307895420628576,0.000901002734501311,0.00637468864143079,0.0728595860677126,0.0124713950602441,0.044189688640126,0,0,0,0.0586427070446341,0.0086361306739112,0.0610577752063381,0,0,0,0.000513719832486787,0.00753563411806458,0.0551936376758401,0,0,0.630206885302255,0,0.736636718209562,0.680098929440186
Alpha_ID19_2nd,0.00188192344061919,0.0421314795389294,0,0.0754391519710446,0.0764921039348183,0.0242402359973856,0.0313933772539437,0,0,0,0.0539377169590287,0,0.125994918878179,0,0.00057535534663065,0.0318125527605203,0,0.003075896214108,0.029267642657464,0,0.00980665753619542,0.493950987511133,0,0.72743493710302,0.687717650335434
Alpha_ID20_1st,0.0129378599622767,0.0149520890525384,0.00456660506570548,0,0.0328609481256464,0.0200834257698647,0.03568918483717,0,0,0.000148598494944962,0.0829608001273082,0,0.0881273368578867,0,0,0.0117214703981395,0.00110482471045029,0.00261498159076504,0.0459385086187168,0,0,0.646293366388587,0,0.767233903036904,0.6455695437608
Alpha_ID20_2nd,0.0107665685636574,0.0224990296825211,0.000440253103432442,0.0790673687072567,0.0140794395441499,0.0667965120867261,0.0391441254635913,0,0,0,0.056685841249698,0.0234885357865038,0.0139195551162723,0,0,0.0387026173975391,0.00539916862684444,0.00274606214862446,0.0375927726575127,0,0,0.58867214986567,0,0.789905379123311,0.616543389243356
Alpha_ID21_1st,0.0237804854294935,0.0174765749018121,0.00211286363172013,0.01023395151181,0.00323010122840708,0.0267463070371513,0.0287077509405339,0,0,0.00378927871588932,0.0513310109900607,0,0,0,0,0,0.00168922739447481,0.0140288901853979,0.0269322933127376,0,0,0.789941264720512,0,0.773649825713986,0.66118116178103
