ID	Group
8	Alpha
10	Alpha
11	Alpha
19	Alpha
20	Alpha
21	Alpha
22	Alpha
23	Alpha
26	Alpha
27	Alpha
28	Alpha
29	Alpha
30	Alpha
31	Alpha
32	Alpha
33	Alpha
34	Alpha
35	Alpha
38	Alpha
42	Alpha
43	Alpha
44	Alpha
46	Alpha
48	Alpha
49	Alpha
50	Alpha
55	Alpha
56	Alpha
61	Alpha
63	Alpha
66	Alpha
68	Alpha
69	Alpha
70	Alpha
71	Alpha
72	Alpha
39	Alpha_EK
40	Alpha_EK
41	Alpha_EK
45	Alpha_EK
51	Alpha_EK
52	Alpha_EK
53	Alpha_EK
54	Alpha_EK
57	Alpha_EK
58	Alpha_EK
59	Alpha_EK
60	Alpha_EK
62	Alpha_EK
64	Gamma
65	Gamma
67	Gamma

