GSM	Sample_name
GSM6066145 	Omicron_85_1st
GSM6066146 	Omicron_86_1st
GSM6066147 	Omicron_88_1st
GSM6066148 	Omicron_89_1st
GSM6066149 	Omicron_90_1st
GSM6066150 	Omicron_91_1st
GSM6066151 	Omicron_92_1st
GSM6066152 	Omicron_94_1st
GSM6066153 	Omicron_96_1st
GSM6066154 	Omicron_99_1st
GSM6066155 	Omicron_100_1st
GSM6066156 	Omicron_101_1st
GSM6066157 	Omicron_103_1st
GSM6066158 	Omicron_104_1st
GSM6066159 	Omicron_105_1st
GSM6066160 	Omicron_106_1st
GSM6066161 	Omicron_107_1st
GSM6208968 	Omicron_13_2nd
GSM6208969 	Omicron_17_2nd
GSM6208970 	Omicron_24_2nd
GSM6208971 	Omicron_25_2nd
GSM6208972 	Omicron_26_2nd
GSM6208973 	Omicron_27_2nd
GSM6208974 	Omicron_28_2nd
GSM6208975 	Omicron_29_2nd
GSM6208976 	Omicron_30_2nd
GSM6208977 	Omicron_31_2nd
GSM6208978 	Omicron_32_2nd
GSM6208979 	Omicron_33_2nd
GSM6208980 	Omicron_34_2nd
GSM6208981 	Omicron_35_2nd
GSM6208982 	Omicron_37_2nd
GSM6208983 	Omicron_38_2nd
GSM6208984 	Omicron_42_2nd
GSM6208985 	Omicron_43_2nd
GSM6208986 	Omicron_51_2nd
GSM6208987 	Omicron_53_2nd
GSM6208988 	Omicron_54_2nd
GSM6208989 	Omicron_55_2nd
GSM6208990 	Omicron_66_2nd
GSM6208991 	Omicron_67_2nd
GSM6208992 	Omicron_70_2nd
GSM6208993 	Omicron_72_2nd
GSM6208994 	Omicron_73_2nd
GSM6208995 	Omicron_74_2nd
GSM6208996 	Omicron_75_2nd
GSM6208997 	Omicron_84_2nd
GSM6208998 	Omicron_85_2nd
GSM6208999 	Omicron_89_2nd
GSM6209000 	Omicron_91_2nd
GSM6209001 	Omicron_94_2nd
GSM6209002 	Omicron_96_2nd
GSM6209003 	Omicron_99_2nd
GSM6209004 	Omicron_100_2nd
GSM6209005 	Omicron_101_2nd
GSM6209006 	Omicron_103_2nd
GSM6066090 	Naive_17_Day0
GSM6066091 	Naive_18_Day0
GSM6066092 	Naive_24_Day0
GSM6066093 	Naive_26_Day0
GSM6066094 	Naive_27_Day0
GSM6066095 	Naive_28_Day0
GSM6066096 	Naive_29_Day0
GSM6066097 	Naive_30_Day0
GSM6066098 	Omicron_1_1st
GSM6066099 	Omicron_2_1st
GSM6066100 	Omicron_3_1st
GSM6066101 	Omicron_4_1st
GSM6066102 	Omicron_5_1st
GSM6066103 	Omicron_6_1st
GSM6066104 	Omicron_7_1st
GSM6066105 	Omicron_8_1st
GSM6066106 	Omicron_9_1st
GSM6066107 	Omicron_10_1st
GSM6066108 	Omicron_11_1st
GSM6066109 	Omicron_12_1st
GSM6066110 	Omicron_13_1st
GSM6066111 	Omicron_14_1st
GSM6066112 	Omicron_15_1st
GSM6066113 	Omicron_16_1st
GSM6066114 	Omicron_17_1st
GSM6066115 	Omicron_18_1st
GSM6066116 	Omicron_19_1st
GSM6066117 	Omicron_20_1st
GSM6066118 	Omicron_24_1st
GSM6066119 	Omicron_25_1st
GSM6066120 	Omicron_26_1st
GSM6066121 	Omicron_27_1st
GSM6066122 	Omicron_28_1st
GSM6066123 	Omicron_29_1st
GSM6066124 	Omicron_30_1st
GSM6066125 	Omicron_31_1st
GSM6066126 	Omicron_33_1st
GSM6066127 	Omicron_34_1st
GSM6066128 	Omicron_35_1st
GSM6066129 	Omicron_37_1st
GSM6066130 	Omicron_38_1st
GSM6066131 	Omicron_42_1st
GSM6066132 	Omicron_43_1st
GSM6066133 	Omicron_48_1st
GSM6066134 	Omicron_49_1st
GSM6066135 	Omicron_50_1st
GSM6066136 	Omicron_51_1st
GSM6066137 	Omicron_52_1st
GSM6066138 	Omicron_53_1st
GSM6066139 	Omicron_55_1st
GSM6066140 	Omicron_65_1st
GSM6066141 	Omicron_66_1st
GSM6066142 	Omicron_67_1st
GSM6066143 	Omicron_68_1st
GSM6066144 	Omicron_70_1st
